product,description,page
ARDEX K 33,"Opis: Uniwersalna masa wyrównująca. Na bazie cementu z wykorzystaniem efektu ARDURAPID®. Masa szpachlowa, wyrównująca, wygładzająca. Bardzo niskoemisyjna. Pozwala na wykonanie równego, chłonnego i prostego podłoża pod okładziny podłogowe elastyczne i tekstylne, parkiet i okładziny z płytek. Samowygładzająca. Podlega szlifowaniu. Wysoko wypełniająca. Nadaje się do aplikacji pompowej. Wolna od zarysowań. Powierzchnie gotowe do układania w jednym cyklu roboczym. Szpachlowanie i wyrównywanie jastrychów cementowych, z asfaltu lanego, anhydrytowych, podłóg betonowych, jak również innych podłoży odpowiednich pod okładziny tekstylne i elastyczne, płytki i płyty oraz parkiet. Do stosowania: wewnątrz. Proporcje mieszania: ok. 5,75 l wody : 25 kg proszku. Gęstość nasypowa: ok. 1,2 kg/l. Gęstość świeżej zaprawy: ok. 1,9 kg/l. Zużycie materiału: ok. 1,5 kg proszku na m2 i mm. Czas pracy (20°C): ok. 30 min. Możliwość obciążenia ruchem pieszym/gotowość do układania płytek (20°C): po ok. 2-3 godz. Gotowość do układania innych okładzin (20°C): po ok. 1 dniu; dla warstw grubszych niż 10 mm ok. 3 dni. Przydatność do stosowania pod krzesła na kółkach: tak Przydatność w systemie ogrzewania podłogowego: tak EMICODE kod emisyjności: EC 1R - bardzo nisko emisyjny. Magazynowanie: W suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 53122 40 24705 53122 1 40 worków",39
ARDEX K 36 NEU,"Opis: Wyrównująca masa szpachlowa. Na bazie cementu. Do wylewania warstw o grubości od 3 do 30 mm. Niska emisja substancji lotnych Masa szpachlowa, wyrównująca, samowygładzająca. Rozlewna. Możliwość szybkiego obciążenia i układania okładzin. Do podawania pompą. O niskich naprężeniach wewnętrznych. Wygładzanie i wyrównywanie powierzchni podłogowych w obszarach wewnętrznych i zewnętrznych. W zakresie stale mokrych powierzchni, powierzchni pod wodą, na balkonach i na tarasach. Do stosowania: wewnątrz i zewnątrz. Proporcje mieszania: ok. 5,75 l wody : 25 kg proszku. Gęstość nasypowa: ok. 1,3 kg/l. Gęstość świeżej zaprawy: ok. 2,0 kg/l. Zużycie materiału: ok. 1,6 kg proszku na m2/mm. Czas pracy (20°C): ok. 30 min. Możliwość obciążenia ruchem pieszym/gotowość do układania płytek (20°C): po ok. 2 godz. Przydatność w systemie ogrzewania podłogowego: tak. EMICODE kod emisyjności: EC 1 R - bardzo niska emisja. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25kg worek 19256 40 24705 19256 9 40 worków",40
ARDEX K 55,"Opis: Szybkoschnąca masa wyrównująca. Na bazie cementu z wykorzystaniem efektu ARDURAPID®. Technologia SpeedTec istotnie przyśpiesza wysychanie oraz wiązanie produktu. Masa szpachlowa, wyrównująca, samowygładzająca. Po 60 minutach, gotowa do układania okładzin podłogowych z PCV, PVC, miękkich wykładzin winylowych, linoleum i gumy. Do układania parkietu (przy użyciu PREMIUM AF 460/480). Dzięki wysokiej przyczepności na większości podłoży nie wymaga gruntowania. Szpachlowanie i wyrównywanie jastrychów cementowych, anhydrytowych, oraz innych podłoży, do szybkich prac naprawczych i renowacyjnych. Do stosowania: wewnątrz. Proporcje mieszania: ok. 5,25 l wody : 20 kg proszku. Gęstość nasypowa: ok. 1,2 kg/l. Gęstość świeżej zaprawy: ok. 1,8 kg/l. Zużycie materiału: ok. 1,4 kg proszku na m2 / mm. Czas pracy (20°C): ok. 15 min. Możliwość obciążenia ruchem pieszym (20°C): po ok. 60 min. Gotowość do układania okładzin (20°C): po ok. 60 min. Przydatność do stosowania pod krzesła na kółkach: tak. Przydatność w systemie ogrzewania podłogowego: tak. EMICODE kod emisyjności: EC 1 R - bardzo niska emisja. Magazynowanie: w suchych pomieszczeniach ok. 24 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 20 kg worek 53118 40 24705 53118 4 50 worków",41
ARDEX K 60,"Opis: Lateksowa masa wyrównująca. Dwuskładnikowa masa samopoziomująca do prac naprawczych i renowacyjnych. Na bazie lateksu. Do grubości warstw od 2 do 15 mm, po zmieszaniu z kruszywem do 30 mm. Rozpływna i samowygładzająca. Wysoka przyczepność do podłoża. Odporna na wodę i wilgoć. Ekstremalnie bezskurczowa. Bez gruntowania na większości podłoży budowlanych. Brak efektu przelania wodą. Możliwość pracy w jednym cyklu roboczym do 30 mm. Wyrównywanie nierówności podłoża w pomieszczeniach obciążonych wilgocią. K 60 może być stosowany na większości budowlanych podłoży takich jak beton, jastrych cementowy, jastrych asfaltowy, drewno oraz powierzchnie metalowe. Przeznaczony pod wykładziny tekstylne, linoleum, PVC, parkiet i okładziny ceramiczne. Do stosowania: wewnątrz. Proporcje mieszania: 20 kg proszku : 4,95 kg lateksu; 3 części proszku : 1 części dyspersji. Ciężar właściwy (proszek): ok. 1,3 kg/l. Zużycie materiału: ok. 1,6 kg na m²/mm. Czas pracy (20°C): ok. 30 min. Możliwość obciążania ruchem pieszym (20°C): po ok. 2,5 godz. Gotowość do układania warstw wierzchnich (20°C): do 5 mm po ok. 1 dniu. Odporność na obciążenia skupione (fotele na kółkach): tak. Przydatność w systemie ogrzewania podłogowego: tak. EMICODE: EC1PLUSR - bardzo niski poziom emisji. GISCODE (proszek): ZP1 - produkt zawiera cement niskochromianowy. GISCODE (latex): D1 - produkt zawiera dyspersję bezrozpuszczalnikową. Magazynowanie: w suchych pomieszczeniach, przez 9 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta proszek (komponent A) 20 kg wiadro 24201 40 24705 24201 1 proszek 50 worków lateks (komponent B) 4,8 kg wiadro 30498 40 24705 30498 6 lateks 50 worków",42
ARDEX K 66 F,"Opis: Podłogowa masa szpachlowa wzmocniona włóknami z REVOCEM, 3-30 mm. Szybkowiążąca i szybkoschnąca, o niskim skurczu, bez pęknięć we wszystkich grubościach warstw. Idealna do powierzchni krytycznych, prac naprawczych i renowacyjnych. Pod następnie układane tekstylne i elastyczne wykładziny podłogowe, ozdobne, kauczukowe okładziny, linoleum, PCV i CV, gotowy i lity parkiet, okładziny ceramiczne, kamienne i wielkoformatowe. Masa szpachlowa na podłogi do szpachlowania i wyrównywania: – jastrychów cementowych i posadzek betonowych, – jastrychów anhydrytowych, – starych podłoży, wodoodpornych, z przylegającymi pozostałościami klejów do wykładzin, – krytycznych podłoży mieszanych, – płyt wiórowych P4-P7 oraz płyt OSB 2-4, – podłóg drewnianych, – jastrychów z lanego asfaltu, – jastrychów magnezjowych, – płytek i płyt ceramicznych, – posadzek z lastrico, – i innych odpowiednich podłoży. Zużycie materiału: 1,5 kg proszku/m2 przy grubości 1 mm. Proporcje mieszania: ok. 6 l wody : 25 kg proszku. Ciężar właściwy: ok. 1,2 kg/l. Gęstość świeżej zaprawy: ok. 1,9 kg/l. Czas pracy (+20 °C): ok. 30 minut. Możliwość obciążania ruchem pieszym (20°C): po ok. 2 godzinach. Gotowość do układania warstw wierzchnich (20°C): ok. 12 godzin. Przydatność w systemie ogrzewania podłogowego: tak. Odporność na obciążenia skupione (fotele na kółkach): tak. EMICODE: EC1 - bardzo niski poziom emisji. Magazynowanie: W suchych pomieszczeniach przez ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 32601 4024705326018 40 worków",43
ARDEX K 80,"Opis: Przemysłowa masa wyrównująca. Na bazie cementu, wykorzystuje efekt ARDURAPID®. Wykonywanie powierzchni użytkowych w obiektach gospodarczych i przemysłowych. Do wylewania warstw o grubości od 5 do 50 mm. Wyrównywanie i niwelowanie podłoży betonowych. Samowygładzająca, bez tendencji do tworzenia rys nawet przy bardzo dużej grubości. Może być podawana pompą. Możliwość obciążania ruchem pieszym i układania następnych warstw w krótkim czasie po wylaniu. Jako powierzchnia użytkowa w piwnicach, warsztatach, sieniach, poddaszach, pomieszczeniach magazynowych, składach. Wyrównywanie i niwelowanie podłoży betonowych, jastrychów cementowych, jastrychów o spoiwie wapiennym, okładzin z płytek i płyt oraz innych nośnych podłoży. Wykonywanie powierzchni pod okładziny z płytek, kamienia naturalnego oraz inne okładziny podłogowe. Do stosowania: wewnątrz. Proporcje mieszania: ok. 4,75-5,0 l wody : 25 kg proszku. Gęstość nasypowa: ok. 1,3 kg/l. Gęstość świeżej zaprawy: ok. 2,0 kg/l. Zużycie materiału: ok. 1,65 kg na m2/mm. Czas pracy (20°C): ok. 30 min. Możliwość obciążania ruchem pieszym (20°C): po ok. 2 godz. Gotowość do układania warstw wierzchnich (20°C): okładziny paroprzepuszczalne po ok. 1 dniu; wykładziny szczelne po 1 dniu (do 10 mm), po 3 dniach (do 30 mm), po 7 dniach (do 50 mm). Wytrzymałość na ściskanie: po 1 dniu ok. 14 N/mm2, po 7 dniach ok. 20 N/mm2, po 28 dniach ok. 32 N/mm2. Wytrzymałość na rozciąganie przy zginaniu: po 1 dniu ok. 3,8 N/mm2, po 7 dniach ok. 5,8 N/mm2, po 28 dniach ok. 9,0 N/mm2. Twardość mierzona kulką: po 1 dniu ok. 60 N/mm2, po 7 dniach ok. 65 N/mm2, po 28 dniach ok. 90 N/mm2. Odporność na obciążenia skupione (wózki na kółkach): tak. Przydatność w systemie ogrzewania podłogowego: tak. GISCODE: ZP 1 - produkt zawiera cement niskochromianowy. Magazynowanie: w suchych pomieszczeniach, w oryginalnie zamkniętym opakowaniu ok. 12 miesięcy. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 53195 40 24705 53195 5 40 worków",44
ARDEX K 301,"Opis: Zewnętrzna masa wyrównująca. Na bazie cementu. Do szpachlowania, wygładzania i wyrównywania powierzchni podłóg. Samowygładzająca i do podawania pompą. Szpachlowanie, wyrównywanie oraz niwelowanie powierzchni podłogowych wewnątrz i na zewnątrz pomieszczeń. Tworzenie warstw użytkowych w pomieszczeniach przemysłowych, garażach, składach, alejkach. Tworzenie warstwy wyrównującej w pomieszczeniach zagrożonych wilgocią. Jako warstwa przed ułożeniem okładzin ceramicznych w pomieszczeniach narażonych na ciągłą wilgoć, takich jak: balkony, tarasy. Możliwość podawania za pomocą pompy. Możliwość szybkiego obciążania ruchem pieszym. Bez tendencji do tworzenia rys. Do stosowania: wewnątrz i zewnątrz. Proporcje mieszania: ok. 5 l wody : 25 kg proszku. Ciężar właściwy: ok. 1,4 kg/l. Ciężar świeżej zaprawy: ok. 1,9 kg/l. Zużycie materiału: ok. 1,6 kg proszku/m2 i 1 mm grubości. Czas pracy (20°C): ok. 30-45 min. Możliwość obciążania ruchem pieszym (20°C): ok. 2-3 godz. Wartość pH: świeża zaprawa ok. 12. Przydatność w systemie ogrzewania podłogowego: tak. Odporność na obciążenia skupione: tak. Magazynowanie: 12 miesięcy w oryginalnie zamkniętym opakowaniu, w suchym miejscu. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 53145 40 24705 53145 9 40 worków",45
ARDEX CL 50,"Opis: Masa wyrównująca od 1 – 5 mm. Na bazie cementu. Możliwość podawania pompą. Bez tendencji do naprężeń. Odporna na obciążenia skupione. Na ogrzewanie podłogowe. Do stosowania: wewnątrz. Proporcje mieszania: ok. 6,0–6,25 l wody : 25 kg proszku. Ciężar właściwy: ok. 1,2 kg/l. Gęstość świeżej zaprawy: ok. 1,9 kg/l. Zużycie materiału: ok. 1,5 kg na m²/mm. Czas pracy (20°C): ok. 30 min. Możliwość obciążania ruchem pieszym (20°C): ok. 3 godz. Gotowość do układania warstw wierzchnich (20°C): do 2 mm po ok. 1 dniu; do 5 mm po ok. 2 dniach. Układanie płytek ceramicznych po ok. 3 godzinach. odporność na obciążenia skupione (fotele na kółkach): tak. Przydatność w systemie ogrzewania podłogowego: tak. EMICODE: EC1PLUS R - bardzo niski poziom emisji.",46
ARDEX CL 100,"Opis: Cienkowarstwowa masa wyrównująca 1 – 10 mm. Na bazie cementu. Możliwość podawania pompą. Bez tendencji do naprężeń. Odporna na obciążenia skupione. Łatwa w szlifowaniu. Do stosowania: wewnątrz. Proporcje mieszania: ok. 6 l wody: 25 kg proszku. Ciężar właściwy: ok. 1,2 kg/l. Gęstość świeżej zaprawy: ok. 1,9 kg/l. Zużycie materiału: ok. 1,5 kg na m²/mm. Czas pracy (20°C): ok. 30 min. Możliwość obciążania ruchem pieszym (20°C): po ok. 2,5 godz. Gotowość do układania warstw wierzchnich (20°C): do 5 mm po ok. 1 dniu. Odporność na obciążenia skupione (fotele na kółkach): tak. Przydatność w systemie ogrzewania podłogowego: tak. EMICODE: EC1 - bardzo niski poziom emisji. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 53117 40 24705 53117 7 40 worków",47
ARDEX CL 300,"Opis: Masa wyrównująca od 2 – 20 mm. Na bazie cementu. Możliwość podawania pompą. Bez tendencji do naprężeń. Odporna na obciążenia skupione. Łatwa w szlifowaniu. Do stosowania: wewnątrz. Proporcje mieszania: ok. 5,75 l wody : 25 kg proszku. Ciężar właściwy: ok. 1,2 kg/l. Gęstość świeżej zaprawy: ok. 1,9 kg/l. Zużycie materiału: ok. 1,5 kg na m²/mm. Czas pracy (20°C): ok. 30 min. Możliwość obciążania ruchem pieszym (20°C): ok. 2-3 godz. Gotowość do układania warstw wierzchnich (20°C): do 10 mm po ok. 1 dniu; do 20 mm po ok. 3 dniach. Odporność na obciążenia skupione (fotele na kółkach): tak. Przydatność w systemie ogrzewania podłogowego: tak. EMICODE: EC1PLUS R - bardzo niski poziom emisji. Opakowanie Nr artykułu EAN-Nr Paleta 25 KG WOREK 13540 4024705135405 40 WORKÓW",48
ARDEX E 25,"Opis: Plastyfikator do mas wyrównujących. Dodatek do wody zarobowej poprawiający elastyczność i wytrzymałość mas wyrównujących. Nie zawiera rozpuszczalników. Podnosi elastyczność i wytrzymałość przy obciążeniach skupionych. Płyn dodawany do zapraw, mas szpachlowych, wyrównujących i poziomujących. Wzbogacanie jastrychów cementowych. Podnosi elastyczność i poprawia wytrzymałość powierzchni na obciążenia podczas toczenia, np. wózki widłowe, fotele na kółkach oraz podnosi twardość warstwy wierzchniej przez dodatkowe wiązania tworzyw sztucznych. Do stosowania: wewnątrz. Zużycie materiału: Przy zastosowaniu jako płynnego dodatku użytkownik sam wylicza sobie zużycie według wybranej proporcji mieszania. Dodatek środka „E 25” wynosi 1 do 2,5 kg na każde 25 kg środka wiążącego. GISCODE: D1 - nie zawiera rozpuszczalników. Magazynowanie: Przez 12 miesięcy w oryginalnie zamkniętym opakowaniu, chronić przed mrozem. Opakowanie Nr artykułu EAN-Nr Paleta 5 kg wiadro 59240 40 24705 59240 6 72 wiadra",49
ARDEX R2E,"Opis: Epoksydowa żywica gruntująca. „R2E” jest płynną, dwuskładnikową żywicą epoksydową bez rozpuszczalników. Nie zawiera lotnych związków organicznych LZO. Do stosowania jako wzmocnienie podłoża i wypełnienie rys lub grunt przed naniesieniem powłok epoksydowych lub poliuretanowych. Po związaniu jest odporna na działanie wody, związków chemicznych i warunków atmosferycznych. Doszczelnienie, zamknięcie porów i wzmocnienie posadzek betonowych. Wypełnienie rys skurczowych w podłożu. Preparat gruntujący pod powłoki epoksydowe i poliuretanowe. Do stosowania: wewnątrz i zewnątrz Gęstość: ok. 1.05 kg/l Zużycie: ok. 300 gr/m2 w zależności od porowatości podłoża. Przyczepność do podłoża betonowego: > 3 N/mm2 Czas użycia: (20°C): ok. 30 minut Pełne utwardzanie: 7 dni. Odporność mechaniczna: po 24 godzinach. Pełna odporność chemiczna: po 7 dniach. Możliwość chodzenia: po ok. 24 godzinach. Magazynowanie: 12 miesięcy w oryginalnie zamkniętych opakowaniach.",50
ARDEX R50 ES,"Opis: Epoksydowa żywica wielofunkcyjna. „R 50 ES” jest bezrozpuszczalnikową żywicą epoksydową, która pozwala na wykonanie wysokowytrzymałych i łatwych w czyszczeniu powierzchni. Stosowana w miejscach gdzie wymagana jest najwyższa odporność mechaniczna i estetyka powierzchni. Po związaniu jest odporna na działanie wody, związków chemicznych, mrozu i warunków atmosferycznych. Powierzchnie handlowe, parkingi, hangary, posadzki przemysłowe, warsztaty, kuchnie, browary itp. Możliwość stosowania metodą malarską, rozpływną i wielowarstwową. Do stosowania: wewnątrz i na zewnątrz. Gęstość: ok. 1.35 kg/l Zużycie: „R 50 ES” (metoda malarska) 0,4 kg/m2 /warstwę: „R 50 ES” (metoda rozpływna) 1 : 0,5 1,6 kg/m2 /mm; „R 50 ES” (metoda wielowarstwowa) 1 : 0,4 0,5 kg/m2 /warstwę; Wytrzymałość: 90 N/mm2. Przyczepność do podłoża betonowego: > 3 N/mm2. Czas użycia: (20°C): ok. 30 minut. Pełne utwardzanie: 7 dni. Odporność mechaniczna: po 24 godzinach. Pełna odporność chemiczna: po 7 dniach. Możliwość chodzenia: po 24 godzinach. Magazynowanie: 12 miesięcy w ciepłych i suchych pomieszczeniach.",51
ARDEX S 7 PLUS,"Opis: Plastyczny szlam uszczelniający. Uszczelnienie powierzchni ścian i podłóg w klasach obciążeniowych A, B, A0, B0. W postaci proszku. Jednoskładnikowy i bezzapachowy. Możliwy do nanoszenia pędzlem lub packą. Elastyczny. Przekrywający rysy. Paroprzepuszczalny. Wodoszczelny do ciśnienia 5 barów. Na suche i wilgotne podłoża. Uszczelnienie powierzchni ścian i podłóg pod płytkami i okładzinami przy obciążeniach jakie występują na tarasach, balkonach, w basenach, pomieszczeniach prysznicowych, łaźniach, nad wannami, w przemysłowych pomieszczeniach sanitarnych i mieszkalnych z odpływami podłogowymi. Konsystencja pozwala na szpachlowanie i wyrównywanie nierówności. Zalecane nakładanie packą 4x4x4 mm, w dwóch cyklach roboczych. Do stosowania: wewnątrz i zewnątrz, ściany i podłogi. Konsystencja do nakładania packą: ok. 15 kg „S7 PLUS” proszek : 4 l wody. Konsystencja do nakładania pędzlem: ok. 15 kg „S7 PLUS” proszek : 5 l wody. Ciężar świeżej zaprawy: ok. 1,3 kg/l. Zużycie (na 1 mm suchej warstwy): ok. 1,2 kg/m2. Czas użycia (20°C): ok. 60min. Możliwość obciążąnia ruchem pieszym (20°C): po ok. 4 godz. Czas wysychania/układania okładzin (20°C): po ok. 4 godz. Oznakowanie zgodnie z GefStoffV: Xi drażniący. GISCODE: ZP1. Magazynowanie: W suchych pomieszczeniach ok. 6 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 15 kg worek 24223 40 24705 24223 3 60 worków",52
ARDEX S 8 FLOW,"Opis: Samorozpływny szlam uszczelniający. Uszczelnienie powierzchni podłóg w klasach obciążeniowych A, B, A0, B0. Do wyrównywania nierówności. W postaci proszku. Jednoskładnikowy i bezzapachowy. Możliwy do nanoszenia pędzlem lub packą. Elastyczny. Przekrywający rysy. Paroprzepuszczalny. Wodoszczelny do ciśnienia 5 barów. Na suche i wilgotne podłoża. Do grubości warstw 5 mm. Uszczelnienie powierzchni podłóg pod płytkami i okładzinami przy obciążeniach jakie występują na tarasach, balkonach, w basenach, pomieszczeniach prysznicowych, łaźniach, w przemysłowych pomieszczeniach sanitarnych i mieszkalnych z odpływami podłogowymi. Do wyrównywania nierówności do 5 mm grubości. Do stosowania: wewnątrz i zewnątrz, podłogi. Konsystencja rozpływna: ok. 15 kg „S8 FLOW” proszek : 3,3 l wody. Ciężar świeżej zaprawy: ok. 1,6 kg/l. Zużycie (na 1 mm suchej warstwy): ok. 1,5 kg/m2. Czas użycia (20°C): ok. 30 min. Możliwość obciążąnia ruchem pieszym (20°C): po ok. 4 godz. Czas wysychania/układania okładzin (20°C): po ok. 4 godz. GISCODE: ZP1. Magazynowanie: w suchych pomieszczeniach ok. 6 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 15 kg worek 24224 40 24705 24224 0 60 worków",53
ARDEX 8+9,"Opis: Masa uszczelniająca. Ochrona przed wilgocią i uszczelnianie pod płytkami ceramicznymi i płytami. Spełnia wymagania klas A, B, AO, BO. Łączna grubość warstw 0,8 mm. Nadaje się do malowania, szpachlowania, nie zawiera rozpuszczalników, bezskurczowa. Masa odporna na rozciąganie, po związaniu plastyczna. Tylko na suche podłoża. Wewnątrz: Ochrona ścian i podłóg przed wilgocią, wykonywanie fug kątowych, mocowanie przepustów rurowych, odprowadzeń wannowych, studzienek ściekowych, wyrównywanie oraz szpachlowanie nierówności. Pod płytkami ceramicznymi i płytami: uszczelnienie powłokowe w kabinach natryskowych, łazienkach, obszarach natryskowych, pod wannami i pomieszczeniach z wodą ściekającą po podłodze. Na zewnątrz: Ochrona podłoża przed wilgocią na tarasach i balkonach. Stosowana na pokryciach cementowych i podłożach betonowych. Do stosowania: wewnątrz i zewnątrz. Proporcje mieszania: konsystencja do nakładania wałkiem: 20 kg dyspersji akrylowej „8” i 20 kg proszku „9” lub 5 kg dyspersji akrylowej „8” i 5 kg proszku „9”; konsystencja do nakładania szpachlą: 14 kg dyspersji akrylowej „8” i 20 kg proszku „9” lub 4 kg dyspersji akrylowej „8” i 5 kg proszku „9”. Gęstość świeżej zaprawy: konsystencja do nakładania wałkiem ok. 1,3 kg/l; konsystencja do nakładania szpachlą okk 1,4 kg/l. Zużycie materiału: konsystencja płynna (dla gładkiego podłoża): ok. 0,75 kg proszku + ok. 0,75 kg dyspersji = ok. 1,5 kg gotowej mieszanki na 1 m²; konsystencja gęstoplastyczna: ok. 1,6 kg proszku + ok. 1,2 kg dyspersji = ok. 2,8 kg gotowej mieszanki na 1 m². Czas pracy (20°C): ok. 45 min. Czas wysychania/gotowość do układania płytek (20°C): po ok. 2 godzinach od nałożenia drugiej warstwy. Oznakowanie zgodnie z GefStoffV: brak. GISCODE: ZP1 (proszek reakcyjny), D1 (dyspersja akrylowa). Magazynowanie: Ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu, w suchym pomieszczeniu. Dyspersja akrylowa – chronić przed mrozem. Opakowanie Nr artykułu EAN-Nr Paleta 5 kg wiadro 58161 40 24705 58161 5 72 wiadra 20 kg wiadro 58162 40 24705 58162 2 24 wiadra 5 kg worek 58136 40 24705 58136 3 208 worków 20 kg worek 58133 40 24705 58133 2 50 worków",54
ARDEX SK 100 W,"Opis: Mata uszczelniająca. Wodoszczelna. Klasa wymagań dotyczących odporności na wilgoć: A, B, C, A0, B0. Uszczelnienia powierzchni podłogowych i ściennych, w basenach, na balkonach i tarasach przeznaczona pod okładziny z płytek i płyt. Przykrywa rysy. Gwarantuje równomierną grubość warstwy. Zasadoodporna. Łatwa w układaniu, łatwa do przycinania. Po ułożeniu pozwala na szybkie podjęcie dalszych robót. Do stosowania jako uszczelnienie łączące – zgodnie z Wytycznymi do Europejskich Aprobat Technicznych (ETAG 022) dotyczących wodoszczelnych pokryć ścian i podłóg pomieszczeń mokrych. Mata uszczelniająca „SK 100 W” spełnia wymogi przewidziane w wytycznej ETAG 022, w części 2, w przypadku jej zastosowania w systemie z następującymi produktami systemowymi: - X 77 MicroTec klej elastyczny, - 7+8 klej uszczelniający, - CA 20 P SMP – klej montażowy, - SK 12 TRICOM taśma uszczelniająca 120, - SK-W TRICOM manszeta uszczelniająca 120×120, - SK-F TRICOM manszeta uszczelniająca 425×425, - SK 90 TRICOM narożnik wewnętrzny 90°, - SK 270 narożnik zewnętrzny 270°, - SK-G TRICOM manszeta kołnierza rury (do głębokiego naciągania) 350×350,, - SK-R TRICOM manszeta do dylatacji 200×200 - SK-S TRICOM manszeta do dylatacji 150×150, - SK-B pierścień uszczelniający 100×200. Do stosowania: wewnątrz i na zewnątrz. Postać produktu: „SK 100 W” składa się białej włókniny polipropylenowej dwustronnie laminowanej folią polietylenową. Kolor: biały z czarnym deseniem. Szerokość maty: ok. 1,0 m. Rozciąganie w przypadku rozdzierania wzdłuż: 82,5% przy 99,8 N/15 mm. Rozciąganie w przypadku rozdzierania w poprzek: 73,7% przy 46,5 N/15 mm. Całkowita grubość: 0,51 mm. Całkowita waga: 315 g/m2. Ciśnienie rozrywające: 3,0 bary. Mostkowanie rys: >0,4 mm. Wytrzymałość na rozciąganie przyczepne: >0,2 N/mm2. Współczynnik sd: >85 m. Wytrzymałość termiczna: od -350°C do +900°C. Odporność na promieniowanie UV: <500 godz. opakowanie: kartony po jednej rolce, długość rolki 30 m lub 10 m. Magazynowanie: Składować w chłodnych, suchych pomieszczeniach, oryginalnie zamknięte ok. 24 miesięcy. Opakowanie Nr artykułu EAN-Nr Paleta Rolka 30 m2 70293 40 24705 70293 5 26 rolek Rolka 10 m2 70292 40 24705 70292 8 30 rolek",55
ARDEX 7+8,"Opis: Masa uszczelniająca. Klej uszczelniający do układania taśmy uszczelniającej SK 100 W. dwukomponentowy (proszek i płyn). W pływalniach, na balkonach i tarasach w połączeniu z elementami uszczelniającymi „SK TRICOM”. Szybkowiążący i szybkoutwardzalny. Wolny od rozpuszczalników. Spełnia wymogi normy eN 12004. Do stosowania: wewnątrz i zewnątrz. ściany i podłogi. Proporcje mieszania: konsystencja masy szpachlowej: 5,0 kg „7” proszek reaktywny + 3,5 kg „8” dyspersja akrylatowa; konsystencja kleju: 5,00 kg „7” proszek reaktywny + 4,25 kg „8” dyspersja akrylatowa. Gęstość nasypowa świeżej zaprawy: dla konsystencji kleju ok. 1,3 kg/l; dla konsystencji szpachli ok. 1,4 kg/l. Zużycie materiału: w przypadku gładkiego podłoża paca zębata 3×3×3 mm ok. 0,6 kg dyspersji + ok. 0,4 kg proszku = ok. 1,0 kg rozrobionego materiału na każdy m2; paca zębata 4×4×4 mm ok. 0,8 kg dyspersji + ok. 0,6 kg proszku = ok. 1,4 kg rozrobionego materiału na każdy m2. Czas stosowania: ok. 60 min (w temperaturze +20°C). Możliwość obciążania ruchem pieszym: po ok. 2 godz. (w temperaturze +20°C). Oznaczenie materiału niebezpiecznego gefStoffV: brak. GISCODE: ZP 1 (proszek reaktywny), d 1 (dyspersja akrylatowa). Opakowanie: „8” dyspersja akrylatowa – wiadra po 5 kg netto „7” proszek reaktywny – worki po 5 kg netto. Pakowane po 4 sztuki. Magazynowanie: Ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu w suchym pomieszczeniu. „8” dyspersja akrylatowa – chronić przed mrozem. Opakowanie Nr artykułu EAN-Nr Paleta 5 kg worek 58138 40 24705 58138 7 208 worków 5 kg wiadro 58161 40 24705 58161 5 72 wiadra",56
